M,N,K,,"triton_rowwise-persistent
TFLOPS","triton_rowwise-non-persistent
TFLOPS",,"ck_rowwise
TFLOPS","scaled_mm
TFLOPS",,"triton_rowwise_non_persistent
+ AMD tuning
TFLOPS"
1,1280,1024,,0.218,0.413,,0.686,0.041,,0.483
1,1280,3584,,0.222,0.465,,1.153,1.326,,0.73
1,1280,8192,,0.232,0.515,,1.354,2.795,,0.835
1,1280,16384,,0.238,0.544,,1.475,3.987,,0.883
1,2304,1024,,0.391,0.76,,1.297,0.961,,0.929
1,2304,3584,,0.398,0.809,,1.79,2.252,,1.289
1,2304,8192,,0.404,0.877,,2.106,3.07,,1.498
1,2304,16384,,0.403,0.901,,2.298,4.196,,1.598
1,7168,1024,,1.044,1.737,,3.042,2.709,,2.461
1,7168,3584,,1.218,2.434,,5.177,5.45,,3.835
1,7168,8192,,1.199,2.666,,7.086,6.853,,4.415
1,7168,16384,,1.268,2.819,,6.457,7.949,,4.041
1,8192,1024,,1.113,2.168,,3.375,3.243,,2.464
1,8192,3584,,1.355,2.885,,6.496,6.883,,4.328
1,8192,8192,,1.341,3.097,,6.788,8.446,,4.897
1,8192,16384,,1.41,3.212,,7.147,7.345,,4.394
1,16384,1024,,1.801,4.018,,5.541,5.157,,4.798
1,16384,3584,,1.998,5.311,,8.388,8.537,,7.347
1,16384,8192,,1.919,4.084,,9.193,9.283,,6.302
1,16384,16384,,2.041,4.267,,8.458,9.399,,6.237
4,1280,1024,,0.831,1.516,,2.613,1.591,,1.723
4,1280,3584,,0.87,1.577,,4.567,4.732,,2.606
4,1280,8192,,0.921,1.761,,5.358,9.766,,3.225
4,1280,16384,,0.941,1.914,,5.889,14.039,,3.439
4,2304,1024,,1.442,2.728,,4.888,4.371,,3.066
4,2304,3584,,1.561,2.931,,7.103,8.702,,4.892
4,2304,8192,,1.592,3.266,,8.314,11.925,,5.759
4,2304,16384,,1.597,3.426,,9.049,15.609,,6.168
4,7168,1024,,3.979,6.758,,12.432,11.06,,8.731
4,7168,3584,,4.759,8.897,,20.511,24.668,,14.022
4,7168,8192,,4.732,9.515,,27.712,30.789,,15.103
4,7168,16384,,5.033,10.28,,26.199,37.306,,15.631
4,8192,1024,,4.413,7.496,,13.34,12.622,,9.823
4,8192,3584,,5.215,10.248,,25.946,27.126,,15.857
4,8192,8192,,5.247,11.12,,26.871,32.852,,18.288
4,8192,16384,,5.642,12.011,,28.098,29.465,,16.875
4,16384,1024,,6.791,13.801,,21.511,20.576,,16.536
4,16384,3584,,7.796,18.851,,32.252,33.745,,24.704
4,16384,8192,,7.594,16.296,,35.713,31.293,,24.486
4,16384,16384,,7.909,17.833,,33.152,29.196,,24.476
8,1280,1024,,1.642,2.961,,5.1,4.852,,3.443
8,1280,3584,,1.736,3.265,,9.171,9.244,,5.464
8,1280,8192,,1.84,3.641,,10.763,19.719,,6.438
8,1280,16384,,1.891,3.914,,11.781,24.4,,6.921
8,2304,1024,,2.876,5.322,,10.107,8.746,,6.201
8,2304,3584,,3.115,5.84,,14.158,17.467,,9.787
8,2304,8192,,3.163,6.275,,16.638,24.008,,11.533
8,2304,16384,,3.19,6.664,,17.986,30.294,,12.337
8,7168,1024,,7.872,13.234,,24.633,19.951,,17.046
8,7168,3584,,9.086,17.967,,40.702,49.801,,28.208
8,7168,8192,,9.357,19.367,,55.771,62.462,,32.768
8,7168,16384,,9.995,20.969,,51.091,65.752,,35.779
8,8192,1024,,8.629,14.945,,26.885,25.249,,19.405
8,8192,3584,,10.061,20.621,,51.528,54.334,,31.687
8,8192,8192,,10.138,22.03,,52.46,50.541,,32.764
8,8192,16384,,11.183,23.692,,55.44,59.479,,33.597
8,16384,1024,,13.397,25.26,,42.949,42.209,,32.593
8,16384,3584,,15.525,37.733,,64.007,66.973,,48.402
8,16384,8192,,15.127,33.163,,71.193,62.087,,48.689
8,16384,16384,,15.694,36.709,,63.696,49.172,,48.263
16,1280,1024,,3.416,6.503,,11.914,9.944,,7.319
16,1280,3584,,3.533,6.655,,18.246,19.577,,10.723
16,1280,8192,,3.74,7.381,,22.918,39.605,,13.104
16,1280,16384,,3.808,7.864,,23.552,44.958,,13.942
16,2304,1024,,6.202,11.219,,21.519,17.221,,13.018
16,2304,3584,,6.22,11.357,,28.163,35.095,,20.199
16,2304,8192,,6.349,12.863,,33.256,47.798,,23.407
16,2304,16384,,6.375,13.398,,35.614,55.81,,24.806
16,7168,1024,,15.966,25.689,,50.24,40.125,,37.139
16,7168,3584,,18.316,36.492,,81.411,99.595,,58.439
16,7168,8192,,18.601,38.801,,113.19,121.951,,59.334
16,7168,16384,,20.041,41.867,,100.789,125.942,,61.949
16,8192,1024,,17.427,31.374,,53.271,49.97,,40.945
16,8192,3584,,20.374,41.619,,105.401,107.915,,65.577
16,8192,8192,,21.001,44.172,,101.329,102.594,,72.384
16,8192,16384,,22.426,47.781,,109.902,118.344,,66.995
16,16384,1024,,26.783,59.004,,83.581,84.873,,66.441
16,16384,3584,,30.858,76.51,,125.98,130.122,,103.493
16,16384,8192,,29.748,63.202,,139.241,107.703,,98.494
16,16384,16384,,30.557,69.839,,117.321,126.025,,95.988
32,1280,1024,,6.771,12.849,,21.655,20.001,,14.386
32,1280,3584,,7.089,13.333,,36.619,23.679,,22.145
32,1280,8192,,7.26,14.783,,44.879,80.564,,25.888
32,1280,16384,,7.224,15.137,,53.927,129.066,,27.703
32,2304,1024,,12.133,22.741,,31.339,35.27,,25.211
32,2304,3584,,12.244,23.842,,55.325,70.322,,39.529
32,2304,8192,,12.168,25.343,,66.154,95.401,,46.363
32,2304,16384,,13.028,26.968,,70.353,111.976,,49.249
32,7168,1024,,25.617,47.166,,94.412,79.003,,70.192
32,7168,3584,,29.773,66.903,,132.942,130.86,,114.266
32,7168,8192,,30.632,72.785,,186.477,215.018,,126.81
32,7168,16384,,31.523,77.081,,145.636,244.271,,122.488
32,8192,1024,,28.192,58.542,,89.149,98.757,,78.745
32,8192,3584,,33.426,76.845,,176.932,185.809,,127.713
32,8192,8192,,34.928,84.634,,135.272,165.173,,142.071
32,8192,16384,,35.953,82.417,,136.439,182.158,,132.341
32,16384,1024,,49.323,95.275,,143.349,135.24,,121.396
32,16384,3584,,56.395,122.886,,174.743,192.027,,193.841
32,16384,8192,,53.774,112.848,,149.326,231.115,,184.802
32,16384,16384,,52.606,121.905,,208.865,182.124,,188.201
64,1280,1024,,13.452,25.074,,16.574,35.395,,27.271
64,1280,3584,,13.528,26.487,,23.853,78.752,,40.494
64,1280,8192,,13.541,28.097,,58.978,143.531,,50.766
64,1280,16384,,14.648,29.801,,27.708,174.226,,54.448
64,2304,1024,,24.005,44.125,,29.823,69.37,,48.89
64,2304,3584,,22.773,46.852,,42.528,140.216,,72.255
64,2304,8192,,23.839,48.994,,47.957,181.116,,88.914
64,2304,16384,,26.129,52.149,,49.117,205.935,,93.241
64,7168,1024,,43.808,97.539,,83.378,142.667,,119.081
64,7168,3584,,50.128,113.208,,129.613,236.997,,168.348
64,7168,8192,,48.964,121.13,,267.584,345.216,,206.196
64,7168,16384,,52.322,126.286,,152.336,311.39,,195.101
64,8192,1024,,46.579,97.703,,166.306,168.057,,135.867
64,8192,3584,,56.56,125.688,,251.281,262.146,,197.427
64,8192,8192,,59.618,134.422,,165.156,268.9,,224.072
64,8192,16384,,0.532,126.169,,172.59,288.988,,219.618
64,16384,1024,,77.674,153.387,,175.104,268.72,,236.388
64,16384,3584,,95.437,198.09,,262.281,318.026,,316.911
64,16384,8192,,115.614,198.54,,288.664,390.867,,333.266
64,16384,16384,,106.388,214.926,,388.937,317.284,,349.372
128,1280,1024,,21.099,46.865,,33.337,74.982,,54.85
128,1280,3584,,21.697,49.266,,47.836,103.902,,82.249
128,1280,8192,,22.264,52.535,,169.944,209.594,,99.422
128,1280,16384,,23.87,58.095,,52.778,239.651,,106.118
128,2304,1024,,37.565,81.126,,59.92,133.996,,89.642
128,2304,3584,,37.15,86.102,,85.614,185.873,,145.03
128,2304,8192,,38.563,88.1,,91.507,216.297,,148.77
128,2304,16384,,42.406,93.669,,96.379,237.707,,178.841
128,7168,1024,,84.343,146.803,,162.53,252.028,,179.522
128,7168,3584,,95.954,188.865,,235.709,366.414,,305.366
128,7168,8192,,101.542,210.756,,441.15,460.709,,353.949
128,7168,16384,,105.336,212.383,,303.989,404.893,,321.963
128,8192,1024,,94.789,164.601,,279.417,269.178,,228.441
128,8192,3584,,108.585,207.171,,412.258,392.709,,335.706
128,8192,8192,,105.781,222.589,,305.589,380.423,,343.47
128,8192,16384,,119.075,210.899,,333.056,444.63,,385.916
128,16384,1024,,178.152,236.34,,299.642,271.802,,299.856
128,16384,3584,,202.194,283.661,,441.166,512.587,,430.925
128,16384,8192,,206.973,266.383,,532.908,558.162,,442.976
128,16384,16384,,202.019,274.683,,553.185,606.765,,439.877
2048,1280,1024,,170.193,285.197,,387.941,418.386,,379.601
2048,1280,3584,,189.258,343.21,,534.659,527.703,,466.203
2048,1280,8192,,204.024,374.386,,657.345,671.163,,530.937
2048,1280,16384,,211.623,378.037,,282.744,705.357,,555.316
2048,2304,1024,,283.365,389.06,,517.92,489.503,,471.739
2048,2304,3584,,315.873,484.113,,423.349,679.391,,680.319
2048,2304,8192,,329.845,544.082,,474.906,811.941,,700.417
2048,2304,16384,,339.843,582.779,,496.603,874.123,,719.997
2048,7168,1024,,311.498,460.73,,626.951,621.909,,605.363
2048,7168,3584,,367.491,561.672,,896.69,956.01,,774.497
2048,7168,8192,,377.307,637.511,,970.362,1063.044,,802.473
2048,7168,16384,,399.896,651.621,,1006.957,1151.375,,854.973
2048,8192,1024,,347.935,453.186,,576.003,712.559,,587.844
2048,8192,3584,,422.654,627.721,,515.175,937.942,,785.453
2048,8192,8192,,434.202,643.91,,559.602,887.996,,800.587
2048,8192,16384,,481.049,710.759,,582.086,983.805,,812.764
2048,16384,1024,,349.839,518.812,,481.741,738.571,,645.217
2048,16384,3584,,404.197,624.658,,657.554,919.456,,726.607
2048,16384,8192,,428.204,709.254,,711.343,884.74,,831.006
2048,16384,16384,,420.604,719.456,,736.819,791.914,,825.736
4096,1280,1024,,292.072,382,,393.571,442.093,,414.877
4096,1280,3584,,333.778,503.762,,528.353,727.352,,538.202
4096,1280,8192,,362,501.169,,579.84,768.087,,578.291
4096,1280,16384,,380.688,498.68,,540.808,815.357,,608.955
4096,2304,1024,,387.481,508.494,,601.232,606.39,,555.4
4096,2304,3584,,495.243,687.835,,696.301,907.512,,714.92
4096,2304,8192,,519.257,740.819,,763.774,983.371,,761.405
4096,2304,16384,,547.403,753.772,,790.291,989.692,,813.524
4096,7168,1024,,406.043,548.872,,718.845,749.368,,615.225
4096,7168,3584,,493.735,699.189,,902.295,1004.894,,810.953
4096,7168,8192,,497.466,739.599,,989.262,1103.589,,820.302
4096,7168,16384,,543.798,754.568,,1028.698,1120.605,,848.273
4096,8192,1024,,350.438,537.499,,722.392,676.84,,596.987
4096,8192,3584,,416.115,649.048,,970.71,1041.535,,787.119
4096,8192,8192,,433.418,705.397,,1056.547,1128.219,,815.516
4096,8192,16384,,450.113,728.942,,1089.524,1185.556,,870.396
4096,16384,1024,,407.576,572.195,,667.024,794.219,,641.294
4096,16384,3584,,493.293,698.285,,979.148,1049.229,,817.667
4096,16384,8192,,494.279,695.306,,1049.041,1127.811,,812.777
4096,16384,16384,,491.528,733.407,,1025.211,981.926,,802.484
8192,1280,1024,,234.751,356.538,,517.997,506.412,,454.076
8192,1280,3584,,273.573,479.33,,633.149,816.968,,614.188
8192,1280,8192,,290.372,490.969,,685.687,967.257,,628.808
8192,1280,16384,,290.266,514.864,,858.332,1060.915,,645.013
8192,2304,1024,,392.402,531.158,,649.403,640.83,,615.279
8192,2304,3584,,489.709,735.401,,569.556,918.695,,845.759
8192,2304,8192,,506.48,728.775,,619.509,972.35,,871.621
8192,2304,16384,,554.518,747.786,,645.521,983.013,,920.665
8192,7168,1024,,425.853,579.339,,738.603,764.139,,697.823
8192,7168,3584,,484.156,706.173,,836.509,1024.999,,865.749
8192,7168,8192,,486.727,748.89,,988.602,1119.509,,903.639
8192,7168,16384,,531.383,742.898,,1006.035,1103.501,,928.61
8192,8192,1024,,413.168,573.235,,733.731,791.487,,588.284
8192,8192,3584,,476.69,694.861,,978.259,1001.223,,838.801
8192,8192,8192,,475.238,741.516,,1062.414,1083.692,,841.375
8192,8192,16384,,438.395,693.083,,1073.967,1081.692,,818.093
8192,16384,1024,,401.958,542.492,,673.992,842.617,,687.706
8192,16384,3584,,426.334,701.379,,987.186,1063.188,,834.777
8192,16384,8192,,99.206,743.345,,1060.756,1115.914,,898.318
8192,16384,16384,,320.536,732.32,,1021.981,1051.102,,862.687
16384,1280,1024,,308.231,499.416,,602.582,587.176,,550.737
16384,1280,3584,,357.38,557.23,,823.537,840.649,,604.799
16384,1280,8192,,373.982,616.499,,878.224,1050.385,,716.429
16384,1280,16384,,375.453,648.536,,699.533,1051.929,,766.458
16384,2304,1024,,396.366,570.245,,721.812,649.629,,646.938
16384,2304,3584,,501.02,746.11,,729.762,918.042,,775.424
16384,2304,8192,,506.295,735.592,,793.488,966.049,,845.192
16384,2304,16384,,504.192,721.857,,811.642,944.517,,891.283
16384,7168,1024,,430.051,584.314,,749.498,848.501,,642.996
16384,7168,3584,,493.315,703.653,,983.22,1065.596,,878.348
16384,7168,8192,,480.981,728.791,,1054.948,1126.651,,892.91
16384,7168,16384,,508.298,690.019,,1055.637,1144.112,,925.918
16384,8192,1024,,422.705,540.869,,742.443,845.58,,680.576
16384,8192,3584,,485.185,698.487,,982.521,1065.021,,862.318
16384,8192,8192,,489.537,723.75,,1052.473,1133.813,,880.211
16384,8192,16384,,510.966,735.773,,1053.823,1178.407,,899.595
16384,16384,1024,,433.438,585.124,,686.97,846.97,,689.856
16384,16384,3584,,473.333,695.151,,985.077,1061.055,,835.618
16384,16384,8192,,496.258,734.592,,1038.418,1096.674,,884.26
16384,16384,16384,,517.928,733.035,,1014.192,1050.859,,849.969
